,Phone_name,discounted_price,Actual_price,Discount_applied
412,Infinix Hot 30,"Rs  30,099",,
413,Xiaomi Redmi 12C,"Rs  23,999",,
414,Xiaomi Redmi A2 Plus,"Rs  17,999",,
415,Poco X6 Pro 5G,"Rs  122,099",,
416,Poco F6,"Rs  131,999",,
417,Poco F6 Pro,"Rs  169,999",,
418,Realme 12+ 5G,"Rs  69,999",,
419,Tecno Phantom V Flip,"Rs  184,999",,
420,Dcode Cypher,"Rs  24,999",,
421,VGO TEL New 22,"Rs  17,999",,
422,VGO TEL S22,"Rs  4,899",,
423,VGO TEL i102,"Rs  2,599",,
424,VGO-TEL V5310,"Rs  4,699",,
425,Jazz Digit Music 4G,"Rs  7,499",,
426,GFive G251,"Rs  3,499",,
427,GFive Rose,"Rs  3,299",,
428,GFive Gold,"Rs  2,049",,
429,GFive Don,"Rs  2,849",,
430,GFive 6700 4G,"Rs  7,199",,
431,GFive Prime,"Rs  2,199",,
432,me Mobile M-1110,"Rs  2,299",,
433,me Mobile L788,"Rs  2,599",,
434,me Mobile Magic Power,"Rs  2,749",,
435,E-Tachi E5310,"Rs  3,749",,
436,E-Tachi B222 lite,"Rs  2,999",,
437,E-Tachi B222,"Rs  2,999",,
438,FAYWA Magic 1,"Rs  2,575",,
439,Sparx Ultra 11,"Rs  25,299",,
440,KXD Classic core A06,"Rs  16,999",,
441,Qmobile E1000 Party 2021,"Rs  3,549",,
442,Qmobile Q150s,"Rs  2,749",,
443,QMobile QStar,"Rs  3,149",,
444,QMobile E990i Sirocco,"Rs  3,599",,
445,Qmobile Classic,"Rs  2,699",,
446,Qmobile Spark4000,"Rs  3,899",,
447,Qmobile QSpark,"Rs  2,699",,
448,Qmobile Qicon,"Rs  2,499",,
449,Nokia 110 (2019),"Rs  6,999",,
450,Nokia C21,"Rs  15,499",,
451,Nokia 105 Plus,"Rs  5,499",,
452,Apple iPhone 14 Plus,"Rs  420,999",,
453,Vivo Y73,"Rs  65,999",,
454,Infinix Zero 30 5G,"Rs  94,499",,
455,Infinix Zero 30 4G,"Rs  64,999",,
456,Tecno Spark Go 2023,"Rs  23,799",,
457,Tecno Pova 5 Pro,"Rs  42,999",,
458,Gfive G4 Play,"Rs  3,199",,
459,GFive Smart,"Rs  1,999",,
460,GFive Dhoom,"Rs  2,149",,
461,GFive magic pro,"Rs  3,149",,
